stage,goal,complied,finished,rate_pct,ci_lo,ci_hi
sft,marker,49,80,61.25000000000001,47.5609756097561,74.07407407407408
sft,format,10,89,11.235955056179774,3.3707865168539324,20.454545454545457
sft,exfil,1,82,1.2195121951219512,0.0,3.7037037037037033
dpo,marker,54,76,71.05263157894737,56.577517162471395,83.566352739726
dpo,format,8,86,9.30232558139535,2.380252100840336,17.857142857142858
dpo,exfil,2,78,2.564102564102564,0.0,7.792207792207792
rlvr,marker,68,73,93.15068493150685,86.24652777777779,98.64864864864865
rlvr,format,23,83,27.710843373493976,16.27906976744186,40.249709639953515
rlvr,exfil,5,74,6.756756756756757,1.4084507042253522,12.679667750090266
